productId,name,price,stock,image,active,status,createdAt,by,note,detailsText,compareImages,costPrice
BY132,หมวก Matin Kim รุ่น Matin Logo Script Beanie #สีน้ำตาล,300,10,https://lh3.googleusercontent.com/d/1cH-RM5Sa9jaFjcIrk5gz2-jBF6UMTjZJ=w800,TRUE,ready,1/30/2026 14:58:25,bobo,,,,
BY133,หมวก Matin Kim รุ่น Matin Logo Script Beanie #สีivory,300,10,https://lh3.googleusercontent.com/d/1Rx-RWDYGQ2OwlnmZ4zwZZkEr147QfoIr=w800,TRUE,ready,1/30/2026 15:00:18,bobo,,,,
BY134,หมวก Matin Kim รุ่น Matin Logo Script Beanie #สีดำ,300,20,https://lh3.googleusercontent.com/d/1T4DNQJ2HWdbUxbNzbKUEAA3fG5miPFEF=w800,TRUE,ready,1/30/2026 15:01:04,bobo,,,,
BY135,หมวก Matin Kim รุ่น Matin Logo Script Beanie #สีเทา,300,10,https://lh3.googleusercontent.com/d/12gUwu3BtN8LzmpYhR6O5TjiTLUq3SNFU=w800,TRUE,ready,1/30/2026 15:02:05,bobo,,,,
BY136,Sweetrip แปรงสีฟันไวท์เทนนิ่ง ดูอัลบรัช แพค 2 ชิ้น,120,55,https://lh3.googleusercontent.com/d/1_RpARSygP7vge2gBt_jiR6S-SoO6nZcG=w800,TRUE,ready,1/30/2026 15:10:05,bobo,,"✨ จุดเด่นพิเศษ
1. 🇯🇵 Japanese Concept 
แปรงสีฟันสไตล์ญี่ปุ่นจะไม่เน้นขนแข็งหรือแรงเกินไป แต่จะเน้น ขนละเอียด นุ่ม แต่ทำความสะอาดได้ลึก ตัวนี้ใช้แนวคิดนั้นเลยค่ะ เป็นขนแปรง 2 ชั้นนุ่มต่อเหงือก แต่ยังขจัดคราบได้ดี

3. หัวแปรงขนาดใหญ่พิเศษ ขนแปรง 2 ชั้น (Dual Bristles Technology)
• ชั้นนอก 0.01 mm — นุ่มพิเศษ อ่อนโยนต่อเหงือก เหงือกแพ้ง่ายใช้ได้
• ชั้นใน 0.15 mm — เน้นขจัดคราบแน่น คราบชา กาแฟ ฟันขาวขึ้นจริง",https://lh3.googleusercontent.com/d/1zmfrYwuxLEzP0Ec6ra7oL3o1R2Xb7jV0=w800,0
BY195,Miniso ขาตั้งโทรศัพท์ ลายคุโรมิ,100,27,https://lh3.googleusercontent.com/d/1YVl0YWNIZoBsDNlpJqkLS0J98AW7ywvK=w800,TRUE,ready,1/31/2026 13:25:07,bobo,สต็อก 61 หักกล่องไม่สวย 1,"🛍 ชื่อสินค้า

Miniso ขาตั้งโทรศัพท์ ลาย Kuromi โทนม่วงพาสเทล

📦 ประเภทสินค้า

ขาตั้งโทรศัพท์มือถือ (Phone Stand / Phone Holder)

📝 รายละเอียดสินค้า

ขาตั้งโทรศัพท์ดีไซน์ลายตัวละคร Kuromi โทนสีม่วงพาสเทล สไตล์น่ารักแบบ 3D Figurine ฐานกลมมั่นคง แข็งแรง วางมือถือได้ทั้งแนวตั้งและแนวนอน เหมาะสำหรับดูหนัง ดูซีรีส์ ไลฟ์สด หรือวางโชว์ตกแต่งโต๊ะทำงาน

ตัวงานเป็นทรงฟิกเกอร์นูนสามมิติ รายละเอียดชัด ทั้งโบว์สีม่วง และสัญลักษณ์หัวกะโหลกสีชมพูบนหน้าผาก เพิ่มความโดดเด่นแบบสายคิวท์

✨ จุดเด่น

ลิขสิทธิ์คาแรกเตอร์ Kuromi (สไตล์ Sanrio)

งาน 3D ตั้งโต๊ะ ดีไซน์น่ารักสะดุดตา

ฐานกว้าง วางมั่นคง ไม่ล้มง่าย

ใช้ได้ทั้งแนวตั้งและแนวนอน

เป็นทั้งอุปกรณ์ใช้งาน + ของตกแต่งโต๊ะ

🧱 วัสดุ (คาดการณ์จากลักษณะงาน)

PVC / ABS พลาสติกแข็งคุณภาพดี

พื้นผิวเรียบ เนียน งานประกอบแน่น

📱 การใช้งาน

ตั้งมือถือดูหนัง / ดู TikTok / YouTube

ใช้วิดีโอคอล / ประชุมออนไลน์

ตั้งถ่ายคลิป / ไลฟ์สด

วางโชว์ตกแต่งโต๊ะทำงานหรือชั้นวาง","https://lh3.googleusercontent.com/d/1jpKGHVWlSHELUXyOSpwhqSc7gpjRu-0h=w800,https://lh3.googleusercontent.com/d/1GmozGjUFa96VboArcJJgGcpYmaNozEiU=w800",
BY231,(*1 คู่/คละลาย) ต่างหู CHANEL,200,100,https://lh3.googleusercontent.com/d/185cksF4DBpstFYzvfuUV3oyRBcNFUziR=w800,TRUE,ready,1/31/2026 13:43:12,bobo,,,,0
BN007,สร้อยข้อมือ (คละลาย),90,35,https://lh3.googleusercontent.com/d/1MRunp3G_uDtBd_0Wdi0f5IebmaxWmrVi=w800,TRUE,ready,1/31/2026 13:47:37,bobo,,,,0
BN008,ผ้าพันคอ Vivienne Westwood Embroidered Scarf #สีดำ,580,20,https://lh3.googleusercontent.com/d/1A-7EEtBQS3KnAbgCTuixwBimPp-1vZ4_=w800,TRUE,shipping,1/31/2026 14:11:13,bobo,,,,
BY120,ผ้าพันคอ Vivienne Westwood Embroidered Scarf #สีขาว,580,11,https://lh3.googleusercontent.com/d/1AKXPQzNDsNeQRA51sYr22l9ZPdT84PMd=w800,TRUE,ready,1/31/2026 14:12:25,bobo,,,,
BY225,กระเป๋าสตางค์ Vivienne Westwood รุ่น Crocodile Embossed Leather Wallet #สีดำ,650,0,https://lh3.googleusercontent.com/d/1LRDuks5WQeuMWsFMmgf9olY2doIMRWlG=w800,TRUE,ready,1/31/2026 15:51:58,bobo,,"👜 ชื่อสินค้า

Vivienne Westwood Crocodile Embossed Leather Wallet (สีดำ)
กระเป๋าสตางค์ลายหนังจระเข้ ดีไซน์หรู สไตล์คลาสสิก

⸻

🏷️ แบรนด์

Vivienne Westwood
แบรนด์แฟชั่นจากอังกฤษ โดดเด่นด้วยโลโก้ Orb อันเป็นเอกลักษณ์

⸻

📌 รายละเอียดสินค้า
	•	กระเป๋าสตางค์ทรงพับ ดีไซน์เรียบหรู
	•	ผิวหนังปั๊มลายจระเข้ (Crocodile Embossed)
	•	ตกแต่งโลโก้ Orb สีเงิน ด้านหน้า
	•	งานเย็บเรียบร้อย ดูพรีเมียม
	•	เหมาะสำหรับใช้งานประจำวัน หรือเป็นของขวัญ

⸻

🎨 สี / วัสดุ
	•	สี: ดำ
	•	วัสดุ: หนังปั๊มลายจระเข้ (จากภาพคาดว่าเป็นหนังเทียม/PU เกรดดี)

⸻

⭐ จุดเด่นสินค้า

✔ ดีไซน์หรู ดูแพง
✔ โลโก้ Orb ชัดเจน เป็นเอกลักษณ์ของแบรนด์
✔ ขนาดกะทัดรัด พกพาง่าย
✔ ใช้ได้ทั้งผู้หญิงและผู้ชาย
✔ ราคาเข้าถึงง่ายมากเมื่อเทียบกับตลาด

⸻

💰 ราคาอ้างอิงตลาด (พร้อมลิงก์)

🌍 ต่างประเทศ (รุ่นใกล้เคียง)

🔗 https://www.very.co.uk/vivienne-westwood-crocodile-embossed-wallet/
	•	ราคาประมาณ £150 – £220
≈ ฿6,500 – ฿9,500

⸻

🇹🇭 ตลาดไทย (ค้นหาขายจริง)

🔗 https://shopee.co.th/search?keyword=vivienne%20westwood%20wallet
	•	ราคาขายทั่วไปประมาณ ฿3,000 – ฿8,500
(ขึ้นกับรุ่น วัสดุ และร้าน)",https://lh3.googleusercontent.com/d/1zSQCdYcg2rQd6ZrN58XAZjdnrn-nEXbF=w800,0
BY121,กระเป๋าสตางค์ Vivienne Westwood รุ่น ENVELOPE BILLFOLD #สีดำ,650,0,https://lh3.googleusercontent.com/d/1HUXQxzi6sFsn8PSlB25G5k1Kea7700p1=w800,TRUE,ready,1/31/2026 15:52:32,bobo,,"👜 ชื่อสินค้า

Vivienne Westwood Envelope Billfold Wallet (สีดำ)
กระเป๋าสตางค์ทรงซอง ดีไซน์คลาสสิก เรียบหรู

⸻

🏷️ แบรนด์

Vivienne Westwood
แบรนด์แฟชั่นจากอังกฤษ โดดเด่นด้วยโลโก้ Orb อันเป็นเอกลักษณ์

⸻

📌 รายละเอียดสินค้า
	•	กระเป๋าสตางค์ทรง Envelope (ซองจดหมาย)
	•	ดีไซน์พับ เปิด–ปิดแบบฝาซอง
	•	ตกแต่งโลโก้ Orb สีทอง ด้านหน้า
	•	งานเย็บเรียบร้อย ทรงสวย
	•	ภายในมีช่องใส่บัตรและธนบัตร เหมาะกับการใช้งานประจำวัน

⸻

🎨 สี / วัสดุ
	•	สี: ดำ
	•	วัสดุ: หนังลาย Saffiano / หนังเทียมคุณภาพสูง (จากลักษณะผิวสัมผัสในภาพ)

⸻

⭐ จุดเด่นสินค้า

✔ ทรงซอง Envelope ดูเรียบแต่หรู
✔ โลโก้ Orb สีทอง ช่วยเพิ่มความพรีเมียม
✔ ขนาดกะทัดรัด พกง่าย
✔ ใช้ได้ทั้งผู้หญิงและผู้ชาย
✔ ราคาประหยัดมากเมื่อเทียบกับแบรนด์

⸻

💰 ราคาอ้างอิงตลาด (พร้อมลิงก์)

🌍 ต่างประเทศ (รุ่นเดียวกัน/ใกล้เคียง)

🔗 https://www.viviennewestwood.com/en/women/accessories/wallets/
	•	ราคาปกติรุ่น Billfold / Envelope Wallet
≈ £140 – £250
≈ ฿6,000 – ฿11,000

⸻

🇹🇭 ตลาดไทย (ขายจริง)

🔗 https://shopee.co.th/search?keyword=vivienne%20westwood%20envelope%20wallet
🔗 https://www.lazada.co.th/catalog/?q=vivienne+westwood+wallet
	•	ราคาขายทั่วไปประมาณ ฿3,000 – ฿8,500
(ขึ้นอยู่กับรุ่น วัสดุ และร้าน)",https://lh3.googleusercontent.com/d/1JqmHpfm8vwb61y70ip2ipmZVwvo3DjEy=w800,
BY122,กระเป๋าสตางค์ Vivienne Westwood รุ่น Crocodile Embossed Leather Wallet #สีฟ้า,650,0,https://lh3.googleusercontent.com/d/18a-1MEYXzJqbK7QvBevzFtM_gRCCOdfC=w800,TRUE,ready,1/31/2026 15:53:09,bobo,,"👜 ชื่อสินค้า

Vivienne Westwood Crocodile Embossed Leather Wallet (สีฟ้า)
กระเป๋าสตางค์ลายหนังจระเข้ โทนสีฟ้าแฟชั่น ดูโดดเด่นไม่ซ้ำ

⸻

🏷️ แบรนด์

Vivienne Westwood
แบรนด์แฟชั่นจากอังกฤษ โดดเด่นด้วยโลโก้ Orb อันเป็นเอกลักษณ์

⸻

📌 รายละเอียดสินค้า
	•	กระเป๋าสตางค์ทรงพับ ดีไซน์เรียบหรู
	•	ผิวหนังปั๊มลายจระเข้ (Crocodile Embossed)
	•	ตกแต่งโลโก้ Orb สีเงิน ด้านหน้า
	•	งานเย็บเรียบร้อย รูปทรงสวย
	•	ภายในมีช่องใส่บัตรและธนบัตร เหมาะกับการใช้งานประจำวัน

⸻

🎨 สี / วัสดุ
	•	สี: ฟ้า (Blue / Pastel Blue)
	•	วัสดุ: หนังปั๊มลายจระเข้ (จากภาพคาดว่าเป็นหนังเทียม/PU เกรดดี)

⸻

⭐ จุดเด่นสินค้า

✔ สีฟ้าแฟชั่น หายาก ดูโดดเด่น
✔ ลายหนังจระเข้ เพิ่มความหรู
✔ โลโก้ Orb เป็นเอกลักษณ์ของแบรนด์
✔ ขนาดกะทัดรัด พกพาง่าย
✔ ราคาประหยัดมากเมื่อเทียบกับตลาด

⸻

💰 ราคาอ้างอิงตลาด (พร้อมลิงก์)

🌍 ต่างประเทศ (รุ่นใกล้เคียง)

🔗 https://www.very.co.uk/vivienne-westwood-crocodile-embossed-wallet/
	•	ราคาจำหน่ายประมาณ £150 – £220
≈ ฿6,500 – ฿9,500

⸻

🇹🇭 ตลาดไทย (ขายจริง)

🔗 https://shopee.co.th/search?keyword=vivienne%20westwood%20wallet
	•	ราคาขายทั่วไปประมาณ ฿3,000 – ฿8,500
(ขึ้นกับสี รุ่น วัสดุ และร้าน)",https://lh3.googleusercontent.com/d/1AYkoObwnJMzHaj-dWyW9DbkeiI7ZfVkV=w800,
BY101,ด้ายแดงเสริมดวง จี้ Sanrio ลิขสิทธิ์แท้,180,14,https://lh3.googleusercontent.com/d/1EqO1FO8NlJjcH5Obxh7QOUv1DyatIcQ6=w800,TRUE,ready,2/7/2026 13:18:52,bobo,,,,
BY123,นาฬิกา Vivienne Westwood รุ่น Belvoir Ladies Watch 25mm #สีดำ,2090,7,https://lh3.googleusercontent.com/d/1MT2RHk093uHL6jZA92LOhZIPvx8E_Dj6=w800,TRUE,ready,2/7/2026 13:24:51,bobo,,"## ⌚ ชื่อสินค้า

**Vivienne Westwood Belvoir Ladies Watch 25 mm (สีดำ/ทอง)**
นาฬิกาผู้หญิงทรงกำไล ดีไซน์แฟชั่นหรู

---

## 🏷️ แบรนด์

**Vivienne Westwood**
แบรนด์แฟชั่นจากอังกฤษ โดดเด่นด้วยโลโก้ Orb

---

## 📏 ขนาด / รุ่น

* **ขนาดหน้าปัด:** 25 มม.
* **รุ่น:** Belvoir Ladies Watch
* **รูปแบบ:** สายกำไล (Bangle Style)

---

## 🎨 สี / วัสดุ

* **หน้าปัด:** สีดำ พร้อมโลโก้ Orb
* **ตัวเรือน / สาย:** สีทอง
* **วัสดุ:** โลหะ / สแตนเลส (นาฬิกาแฟชั่น)

---

## ✨ รายละเอียดสินค้า

นาฬิกาผู้หญิงดีไซน์ทรงกำไล ใส่ง่าย ดูหรูและแฟชั่น หน้าปัดสีดำตัดกับตัวเรือนสีทอง เหมาะสำหรับใส่ออกงานหรือแมตช์ลุคแฟชั่นประจำวัน

---

## ⭐ จุดเด่นสินค้า

✔ ทรงกำไล ดีไซน์ไม่ซ้ำ
✔ โลโก้ Orb เอกลักษณ์ของแบรนด์
✔ ขนาดเล็ก 25 มม. เหมาะกับข้อมือผู้หญิง
✔ ใส่แล้วดูหรู มีสไตล์

---

## 💰 ราคาอ้างอิงตลาด (พร้อมลิงก์)

### 🌍 ต่างประเทศ

🔗 [https://www.viviennewestwood.com/en/women/watches/](https://www.viviennewestwood.com/en/women/watches/)

* ราคาปกติรุ่น Belvoir / Bangle Watch
  ≈ **£200 – £350** (ประมาณ **฿9,000 – ฿15,500**)

### 🇹🇭 ตลาดไทย

🔗 [https://shopee.co.th/search?keyword=vivienne%20westwood%20belvoir%20watch](https://shopee.co.th/search?keyword=vivienne%20westwood%20belvoir%20watch)
🔗 [https://www.lazada.co.th/catalog/?q=vivienne+westwood+watch](https://www.lazada.co.th/catalog/?q=vivienne+westwood+watch)

* ราคาขายทั่วไปประมาณ **฿6,000 – ฿12,000**",https://lh3.googleusercontent.com/d/1OuwHvUDil-jIz2DPZajetyCaeVriRPTm=w800,
BY104,ถุงเท้าข้อยาว Marimekko Unikko ดำ-ขาว (พื้นดำ),100,4,https://lh3.googleusercontent.com/d/1_sxcriuo7_27YAXEGKnyBdZ3mnDlL2wA=w800,TRUE,ready,2/7/2026 13:26:22,bobo,,,,
BY124,นาฬิกา Vivienne Westwood รุ่น Belvoir Ladies Watch 25mm #สีชมพู,2090,2,https://lh3.googleusercontent.com/d/1TVVc5Mo3BqM01N0XyrHh-D30i1KXek8_=w800,TRUE,ready,2/7/2026 15:52:40,bobo,,"## ⌚ ชื่อสินค้า

**Vivienne Westwood Belvoir Ladies Watch 25 mm (สีชมพู/ทอง)**
นาฬิกาผู้หญิงทรงกำไล ดีไซน์แฟชั่นหรู

---

## 🏷️ แบรนด์

**Vivienne Westwood**
แบรนด์แฟชั่นจากอังกฤษ โดดเด่นด้วยโลโก้ Orb

---

## 📏 ขนาด / รุ่น

* **ขนาดหน้าปัด:** 25 มม.
* **รุ่น:** Belvoir Ladies Watch
* **รูปแบบ:** สายกำไล (Bangle Style)

---

## 🎨 สี / วัสดุ

* **หน้าปัด:** สีดำ พร้อมโลโก้ Orb
* **ตัวเรือน / สาย:** สีทอง
* **วัสดุ:** โลหะ / สแตนเลส (นาฬิกาแฟชั่น)

---

## ✨ รายละเอียดสินค้า

นาฬิกาผู้หญิงดีไซน์ทรงกำไล ใส่ง่าย ดูหรูและแฟชั่น หน้าปัดสีดำตัดกับตัวเรือนสีทอง เหมาะสำหรับใส่ออกงานหรือแมตช์ลุคแฟชั่นประจำวัน

---

## ⭐ จุดเด่นสินค้า

✔ ทรงกำไล ดีไซน์ไม่ซ้ำ
✔ โลโก้ Orb เอกลักษณ์ของแบรนด์
✔ ขนาดเล็ก 25 มม. เหมาะกับข้อมือผู้หญิง
✔ ใส่แล้วดูหรู มีสไตล์

---

## 💰 ราคาอ้างอิงตลาด (พร้อมลิงก์)

### 🌍 ต่างประเทศ

🔗 [https://www.viviennewestwood.com/en/women/watches/](https://www.viviennewestwood.com/en/women/watches/)

* ราคาปกติรุ่น Belvoir / Bangle Watch
  ≈ **£200 – £350** (ประมาณ **฿9,000 – ฿15,500**)

### 🇹🇭 ตลาดไทย

🔗 [https://shopee.co.th/search?keyword=vivienne%20westwood%20belvoir%20watch](https://shopee.co.th/search?keyword=vivienne%20westwood%20belvoir%20watch)
🔗 [https://www.lazada.co.th/catalog/?q=vivienne+westwood+watch](https://www.lazada.co.th/catalog/?q=vivienne+westwood+watch)

* ราคาขายทั่วไปประมาณ **฿6,000 – ฿12,000**",https://lh3.googleusercontent.com/d/1JQ1mKjNR-Sm-zYh2kdGfYbB7FHYyahXE=w800,
BY105,ถุงเท้าข้อยาว Marimekko Unikko ขาว-ดำ (พื้นขาว),100,3,https://lh3.googleusercontent.com/d/1SmwySS0XBTImW_Jhmli2MokGqW2UNmO9=w800,TRUE,ready,2/7/2026 16:00:49,bobo,,,,
BY106,	ถุงเท้าข้อยาว Marimekko Unikko ดำ-ครีม (พื้นดำ),100,0,https://lh3.googleusercontent.com/d/1GLqgqGSg_mZ7UO0seEed3m6CATEPe1MP=w800,TRUE,out,2/7/2026 16:05:44,bobo,,,,
BY107,ถุงเท้าข้อยาว Marimekko Unikko ดำ-ขาว (พื้นดำ),100,0,https://lh3.googleusercontent.com/d/1Ck_Gj6feDYqYIE08ZV14hoUuwZbypGLP=w800,TRUE,out,2/7/2026 16:06:28,bobo,,,,
BY108,ถุงเท้าข้อยาว Marimekko ลาย Logo ขาว-ดำ (พื้นดำ),100,0,https://lh3.googleusercontent.com/d/1uj4TL_F5gKLkLgrIqOvxxuE69-pi59rt=w800,TRUE,out,2/7/2026 16:09:13,bobo,,,,
BY109,ถุงเท้าข้อยาว Marimekko ลาย Logo ดำ-ขาว (พื้นขาว),100,0,https://lh3.googleusercontent.com/d/1uIROKQL3KGi56KVf2AfkNWRyLSLJvdmO=w800,TRUE,out,2/7/2026 16:10:12,bobo,,,,
BY110,ถุงเท้า Marimekko Unikko แบบ ลายเส้นดำ (พื้นครีม),100,0,https://lh3.googleusercontent.com/d/1TbcQj7VNfLE5Y8UYQYTCP2A8VTKp93w_=w800,TRUE,out,2/7/2026 16:23:51,bobo,,,,
BY111,ถุงเท้า Marimekko Unikko ขาว-ดำ (พื้นขาว),100,0,https://lh3.googleusercontent.com/d/12o8ek2JlKfbpAehJx9V-3YVBFrmzqWRF=w800,TRUE,out,2/7/2026 18:46:15,bobo,,,,
BY112,ถุงเท้า Marimekko Unikko ขาว-น้ำตาล (พื้นครีม),100,0,https://lh3.googleusercontent.com/d/1Zad_Xv2xrSUCrN7ydrkZU-5zpjnCYXys=w800,TRUE,out,2/7/2026 18:46:53,bobo,,,,
BY113,ถุงเท้า Marimekko Unikko ดำ-เทา (พื้นดำ),100,0,https://lh3.googleusercontent.com/d/1jvl2eGA9QuBFYUYlD1r6IkLkXlNX_UEL=w800,TRUE,out,2/7/2026 18:47:29,bobo,,,,
BY116,สร้อยคอ 2 in 1 จี้โคลเวอร์ ใส่ได้ 2 ด้าน #สีดำ (ดีไซน์ Van Cleef),280,4,https://lh3.googleusercontent.com/d/1W54vA5yc4YnYJQ58UqH7EglnmwUtXgKl=w800,TRUE,ready,2/7/2026 18:51:08,bobo,,,,
BY117,สร้อยคอ 2 in 1 จี้โคลเวอร์ ใส่ได้ 2 ด้าน #สีขาว (ดีไซน์ Van Cleef),280,0,https://lh3.googleusercontent.com/d/1fIvV3hhtBvkrR-tIm2cGtvf6kzpLv8xM=w800,TRUE,ready,2/7/2026 18:52:25,bobo,,,,0
BY118,สร้อยคอจี้แหวนคู่ #สีโรสโกลว์ (ดีไซน์ swarovski),260,0,https://lh3.googleusercontent.com/d/1Dj5cn2qysfZ6LXriyBN2fO2VP7dd0Jl5=w800,TRUE,out,2/7/2026 18:53:05,bobo,,,,
BY119,สร้อยคอจี้สปริง เรียบหรู ประดับเพชร #สีดำ (ดีไซน์ bvlgari),260,0,https://lh3.googleusercontent.com/d/1trA4xEX8Qf-7qRXax9xkSK2YkWALQoVS=w800,TRUE,out,2/7/2026 18:53:32,bobo,,,,
BN013,Cooling Towel,0,1000,https://lh3.googleusercontent.com/d/15JjZPdIEd-Mo4cuVFDARG9Q8L1h8I-Sn=w800,TRUE,shipping,,bobo,,,,
